Chương 1: Giới thiệu các khái niệm OOP|CO2039
Chương 2: Nguyên tắc thiết kế Class|CO2039
Chương 3: Thừa kế (Inheritance) và Bao gộp (Composition)|CO2039
Chương 4: Các mẫu thiết kế (Design Patterns)|CO2039
Chương 5: Giới thiệu lập trình hướng chức năng (Functional Programming)|CO2039
Chương 6: Các khuynh hướng Lập trình mới|CO2039
Chương 1: Kỹ nghệ yêu cầu|CO3065
Chương 2: Thiết kế phần mềm|CO3065
Chương 3: Xây dựng phần mềm|CO3065
Chương 4: Kiểm thử và kiểm chứng phần mềm|CO3065
Chương 5: Tiến hóa phần mềm|CO3065
Chương 6: Sự ổn định của phần mềm|CO3065
Chương 7: Thiết kế hướng đối tượng|CO3065
Chương 1: Mở đầu|IM3001
Chương 2: Ra quyết định trong quản lý|IM3001
Chương 3: Quản lý Kế toán - Tài chính|IM3001
Chương 4: Quản lý Tiếp thị|IM3001
Chương 5: Cấu trúc tổ chức và công tác quản lý nhân sự|IM3001
Chương 6: Quản lý Sản xuất và vận hành|IM3001
Chương 7: Quản lý Chất lượng|IM3001
Chương 8: Quản lý Dự án|IM3001
Chương 1: Giới hạn của dãy số|MT1003
Chương 2: Giới hạn và tính liên tục của hàm một biến|MT1003
Chương 3: Đạo hàm và vi phân của hàm một biến|MT1003
Chương 4: Phép tính tích phân của hàm một biến|MT1003
Chương 5: Phương trình vi phân thông thường|MT1003
Chương 1: Hàm nhiều biến|MT1005
Chương 2: Tích phân bội|MT1005
Chương 3: Tích phân đường|MT1005
Chương 4: Tích phân mặt|MT1005
Chương 1: Giới thiệu về trình biên dịch|CO3013
Chương 2: Phân tích từ vựng|CO3013
Chương 3: Phân tích cú pháp|CO3013
Chương 4: Dịch dựa vào cú pháp|CO3013
Chương 5: Kiểm tra kiểu|CO3013
Chương 6: Bảng danh biểu|CO3013
Chương 7: Mã trung gian|CO3013
Chương 8: Tối ưu mã|CO3013
Chương 9: Máy tính ảo|CO3013
Chương 10: Sinh mã máy|CO3013
Chương 1: Giới thiệu về phân tích và thiết kế hệ thống|CO3115
Chương 2: Giai đoạn 1 - Lập kế hoạch|CO3115
Chương 3: Giai đoạn 2 - Phân tích hệ thống. Mô hình hóa yêu cầu|CO3115
Chương 4: Giai đoạn 2 - Phân tích hệ thống. Mô hình hóa quá trình và dữ liệu|CO3115
Chương 5: Giai đoạn 2 - Phân tích hệ thống. Chuyển sang thiết kế|CO3115
Chương 6: Giai đoạn 3 - Thiết kế hệ thống. Thiết kế giao diện người dùng, nhập và xuất|CO3115
Chương 7: Giai đoạn 3 - Thiết kế hệ thống. Thiết kế dữ liệu|CO3115
Chương 8: Giai đoạn 3 - Thiết kế hệ thống. Kiến trúc hệ thống|CO3115
Chương 9: Phân tích và thiết kế hướng đối tượng|CO3115
Chương 10: Giai đoạn 4 - Thực hiện hệ thống|CO3115
Chương 11: Giai đoạn 4 - Thực hiện hệ thống. Cài đặt và đánh giá|CO3115
Chương 12: Giai đoạn 5. Vận hành và hỗ trợ hệ thống|CO3115
Chương 1: Tổng quát về kiểm thử phần mềm|CO3015
Chương 2: Thanh tra phần mềm|CO3015
Chương 3: Kiểm thử hộp trắng: kiểm thử dòng điều khiển|CO3015
Chương 4: Kiểm thử hộp trắng: Kiểm thử dòng dữ liệu|CO3015
Chương 5: Các kỹ thuật kiểm thử hộp đen|CO3015
Chương 6: Các kỹ thuật kiểm thử hộp đen|CO3015
Chương 7: Kiểm thử module (đơn vị)|CO3015
Chương 8: Các hoạt động kiểm thử khác|CO3015
Chương 9: Phát triển phần mềm dựa trên kiểm thử và kiểm thử tự động|CO3015
Chương 10: Các vấn đề khác của kiểm thử|CO3015
Chương 1: Giới thiệu về quản lý dự án phần mềm|CO3011
Chương 2: Đánh giá dự án và quản lý chương trình|CO3011
Chương 3: Tổng quan về lập kế hoạch dự án|CO3011
Chương 4: Lựa chọn phương pháp tiếp cận dự án phù hợp|CO3011
Chương 5: Ước lượng nỗ lực phần mềm|CO3011
Chương 6: Lập kế hoạch hoạt động|CO3011
Chương 7: Quản lý rủi ro|CO3011
Chương 8: Phân bổ tài nguyên|CO3011
Chương 9: Giám sát và kiểm soát|CO3011
Chương 10: Quản lý hợp đồng|CO3011
